,Artists,artist_uri,Songs,danceability,energy,genre
174,Alessia Cara,spotify:artist:2wUjUUtkb5lvLKcGKsKqsR,Scars To Your Beautiful,0.573,0.739,"['canadian contemporary r&b', 'canadian pop', 'dance pop', 'electropop', 'pop', 'post-teen pop']"
175,The Killers,spotify:artist:0C0XlULifJtAgn6ZNCW2eu,Losing Touch,0.548,0.879,"['modern rock', 'permanent wave', 'rock']"
176,The Killers,spotify:artist:0C0XlULifJtAgn6ZNCW2eu,Human,0.547,0.837,"['modern rock', 'permanent wave', 'rock']"
177,The Killers,spotify:artist:0C0XlULifJtAgn6ZNCW2eu,Spaceman,0.526,0.924,"['modern rock', 'permanent wave', 'rock']"
178,The Killers,spotify:artist:0C0XlULifJtAgn6ZNCW2eu,Joy Ride,0.693,0.94,"['modern rock', 'permanent wave', 'rock']"
179,The Killers,spotify:artist:0C0XlULifJtAgn6ZNCW2eu,A Dustland Fairytale,0.438,0.869,"['modern rock', 'permanent wave', 'rock']"
180,The Killers,spotify:artist:0C0XlULifJtAgn6ZNCW2eu,This Is Your Life,0.613,0.913,"['modern rock', 'permanent wave', 'rock']"
181,The Killers,spotify:artist:0C0XlULifJtAgn6ZNCW2eu,I Can't Stay,0.538,0.849,"['modern rock', 'permanent wave', 'rock']"
182,The Killers,spotify:artist:0C0XlULifJtAgn6ZNCW2eu,Neon Tiger,0.396,0.812,"['modern rock', 'permanent wave', 'rock']"
183,The Killers,spotify:artist:0C0XlULifJtAgn6ZNCW2eu,The World We Live In,0.593,0.871,"['modern rock', 'permanent wave', 'rock']"
184,The Killers,spotify:artist:0C0XlULifJtAgn6ZNCW2eu,"Goodnight, Travel Well",0.401,0.483,"['modern rock', 'permanent wave', 'rock']"
185,Emicida,spotify:artist:2d9LRvQJnAXRijqIJDDs2K,Boa Esperança (feat. Jota Ghetto),0.573,0.969,"['afrofuturismo brasileiro', 'brazilian hip hop', 'brazilian rock', 'funk ostentacao', 'hip hop tuga', 'mangue bit']"
186,Los Hermanos,spotify:artist:7Brxri4l1ATShikyHXsEr6,Dois Barcos,0.605,0.38,"['brazilian rock', 'mpb', 'nova mpb', 'rock alternativo brasileiro', 'rock gaucho', 'rock nacional brasileiro']"
187,Los Hermanos,spotify:artist:7Brxri4l1ATShikyHXsEr6,Primeiro Andar,0.677,0.681,"['brazilian rock', 'mpb', 'nova mpb', 'rock alternativo brasileiro', 'rock gaucho', 'rock nacional brasileiro']"
188,Los Hermanos,spotify:artist:7Brxri4l1ATShikyHXsEr6,Fez-Se Mar,0.739,0.279,"['brazilian rock', 'mpb', 'nova mpb', 'rock alternativo brasileiro', 'rock gaucho', 'rock nacional brasileiro']"
189,Los Hermanos,spotify:artist:7Brxri4l1ATShikyHXsEr6,Paquetá,0.761,0.593,"['brazilian rock', 'mpb', 'nova mpb', 'rock alternativo brasileiro', 'rock gaucho', 'rock nacional brasileiro']"
190,Los Hermanos,spotify:artist:7Brxri4l1ATShikyHXsEr6,Os Pássaros,0.514,0.428,"['brazilian rock', 'mpb', 'nova mpb', 'rock alternativo brasileiro', 'rock gaucho', 'rock nacional brasileiro']"
191,Los Hermanos,spotify:artist:7Brxri4l1ATShikyHXsEr6,Morena,0.921,0.342,"['brazilian rock', 'mpb', 'nova mpb', 'rock alternativo brasileiro', 'rock gaucho', 'rock nacional brasileiro']"
192,Los Hermanos,spotify:artist:7Brxri4l1ATShikyHXsEr6,O Vento,0.665,0.685,"['brazilian rock', 'mpb', 'nova mpb', 'rock alternativo brasileiro', 'rock gaucho', 'rock nacional brasileiro']"
193,Los Hermanos,spotify:artist:7Brxri4l1ATShikyHXsEr6,Horizonte Distante,0.559,0.548,"['brazilian rock', 'mpb', 'nova mpb', 'rock alternativo brasileiro', 'rock gaucho', 'rock nacional brasileiro']"
194,Los Hermanos,spotify:artist:7Brxri4l1ATShikyHXsEr6,Condicional,0.579,0.883,"['brazilian rock', 'mpb', 'nova mpb', 'rock alternativo brasileiro', 'rock gaucho', 'rock nacional brasileiro']"
195,Los Hermanos,spotify:artist:7Brxri4l1ATShikyHXsEr6,Sapato Novo,0.499,0.0906,"['brazilian rock', 'mpb', 'nova mpb', 'rock alternativo brasileiro', 'rock gaucho', 'rock nacional brasileiro']"
196,Los Hermanos,spotify:artist:7Brxri4l1ATShikyHXsEr6,Pois é,0.664,0.328,"['brazilian rock', 'mpb', 'nova mpb', 'rock alternativo brasileiro', 'rock gaucho', 'rock nacional brasileiro']"
197,Los Hermanos,spotify:artist:7Brxri4l1ATShikyHXsEr6,É de Lágrima,0.197,0.165,"['brazilian rock', 'mpb', 'nova mpb', 'rock alternativo brasileiro', 'rock gaucho', 'rock nacional brasileiro']"
198,Los Hermanos,spotify:artist:7Brxri4l1ATShikyHXsEr6,Anna Júlia,0.427,0.817,"['brazilian rock', 'mpb', 'nova mpb', 'rock alternativo brasileiro', 'rock gaucho', 'rock nacional brasileiro']"
199,Los Hermanos,spotify:artist:7Brxri4l1ATShikyHXsEr6,Quem Sabe,0.434,0.885,"['brazilian rock', 'mpb', 'nova mpb', 'rock alternativo brasileiro', 'rock gaucho', 'rock nacional brasileiro']"
